"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
0.69,0.3388,0.3388,0,TRUE,"50:47.1",NA,NA,NA,NA,NA,NA,NA
0.91,0.3223,0.3223,0,TRUE,"58:00.2",NA,NA,NA,NA,NA,NA,NA
1,0.3032,0.3032,0,TRUE,"03:42.9",NA,NA,NA,NA,NA,NA,NA
1.4,0.2827,0.2827,0,TRUE,"44:20.7",NA,NA,NA,NA,NA,NA,NA
2.3,0.2711,0.2711,0,TRUE,"36:21.7",NA,NA,NA,NA,NA,NA,NA
2.49,0.2659,0.2659,0,TRUE,"28:32.9",NA,NA,NA,NA,NA,NA,NA
2.48,0.2635,0.2635,0,TRUE,"44:41.1","first measurement after overnight",NA,NA,NA,NA,NA,NA
2.53,0.2585,0.2585,0,TRUE,"53:24.2"," ",NA,NA,NA,NA,NA,NA
2.84,0.2524,0.2524,0,TRUE,"2025-06-05 12:45:38.430965"," ",NA,NA,-0.863877365533786,22.6913306120099,1.20628227195238,-25.4671124915028
3.02,0.246,0.246,0,TRUE,"2025-06-05 14:32:32.442609"," ",NA,NA,-0.326063784174439,43.9755092647517,0.675780190771736,-20.0751795287318
3.26,0.2371,0.2371,0,TRUE,"2025-06-05 16:58:32.880794"," ",NA,NA,-0.150336126561249,71.7307821225824,0.509311740617722,-17.7608385696136
4.22,0.2097,0.2097,0,TRUE,"2025-06-09 14:51:50.48161"," ",NA,NA,NA,NA,NA,NA
