"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
0.8,0.306,0.306,0,TRUE,"37:07.8",NA,NA,NA,NA,NA,NA,NA
1.05,0.2996,0.2996,0,TRUE,"40:54.6",NA,NA,NA,NA,NA,NA,NA
0.9,0.2945,0.2945,0,FALSE,"45:04.0",NA,NA,NA,NA,NA,NA,NA
1.26,0.2849,0.2849,0,TRUE,"54:35.7",NA,NA,NA,NA,NA,NA,NA
2.01,0.2678,0.2678,0,TRUE,"2025-06-04 08:38:13.596516",NA,NA,NA,NA,NA,NA,NA
2.28,0.2595,0.2595,0,TRUE,"2025-06-04 09:29:36.807707",NA,NA,NA,NA,NA,NA,NA
2.43,0.2545,0.2545,0,TRUE,"2025-06-04 10:24:34.465117",NA,NA,NA,NA,NA,NA,NA
2.37,0.2528,0.2528,0,TRUE,"2025-06-05 09:34:15.053442","first measurement after overnight",NA,NA,NA,NA,NA,NA
2.42,0.2474,0.2474,0,TRUE,"2025-06-05 10:47:42.698504"," ",NA,NA,NA,NA,NA,NA
2.64,0.2369,0.2369,0,TRUE,"2025-06-05 12:40:05.451971"," ",NA,NA,NA,NA,NA,NA
2.76,0.2302,0.2302,0,TRUE,"2025-06-05 14:27:00.07715"," ",NA,NA,NA,NA,NA,NA
3.02,0.221,0.221,0,TRUE,"2025-06-05 16:53:07.920084"," ",NA,NA,NA,NA,NA,NA
4.16,0.1902,0.1902,0,TRUE,"2025-06-09 14:45:32.900211"," ",1.95450351060572,0.0394992912431185,0.803681662287032,35.6099496383177,-0.590087851934108,-7.01117483024463
