"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
0.71,0.2711,0.2711,0,TRUE,"2025-06-04 07:38:39.105804",NA,NA,NA,NA,NA,NA,NA
0.83,0.2632,0.2632,0,TRUE,"2025-06-04 07:41:39.740284",NA,NA,NA,NA,NA,NA,NA
0.89,0.2562,0.2562,0,TRUE,"2025-06-04 07:45:43.77047","pv(""39"")",NA,NA,NA,NA,NA,NA
1.92,0.2328,0.2328,0,TRUE,"2025-06-04 08:30:08.091958"," ",NA,NA,NA,NA,NA,NA
2.27,0.2228,0.2228,0,TRUE,"2025-06-04 09:28:01.969068"," ",NA,NA,-0.160956307288869,141.878060346632,0.498203345427686,-28.1904051845688
2.35,0.2175,0.2175,0,TRUE,"2025-06-04 10:19:30.994352"," ",NA,NA,NA,NA,NA,NA
2.28,0.2148,0.2148,0,TRUE,"2025-06-05 09:25:43.528827","first measurement after overnight",NA,NA,NA,NA,NA,NA
2.47,0.2089,0.2089,0,TRUE,"2025-06-05 10:42:26.73541"," ",NA,NA,NA,NA,NA,NA
2.62,0.1914,0.1914,0,TRUE,"2025-06-05 12:35:40.989192"," ",NA,NA,NA,NA,NA,NA
2.76,0.1855,0.1855,0,TRUE,"2025-06-05 14:21:40.646004"," ",NA,NA,NA,NA,NA,NA
3.02,0.1795,0.1795,0,TRUE,"2025-06-05 16:48:10.162191"," ",NA,NA,NA,NA,NA,NA
4.67,0.1486,0.1486,0,TRUE,"2025-06-09 14:38:59.61375"," ",1.93405269043237,0.0449969335979074,0.982251477668542,32.6622473818224,-0.553506464428823,-7.37879985304128
