"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
1.39,3.2939,3.2939,0,TRUE,"2024-03-08 09:10:25",NA,NA,NA,NA,NA,NA,NA
1.59,3.2533,3.2429,0.0104,TRUE,"2024-03-08 09:10:48",NA,NA,NA,NA,NA,NA,NA
1.82,3.2261,3.2157,0.0104,TRUE,"2024-03-08 09:15:37",NA,NA,NA,NA,NA,NA,NA
2.01,3.2165,3.2061,0.0104,TRUE,"2024-03-08 09:55:41",NA,NA,NA,NA,NA,NA,NA
2.23,3.188,3.1776,0.0104,TRUE,"2024-03-08 10:43:59",NA,NA,NA,NA,NA,NA,NA
2.71,3.1513,3.1409,0.0104,TRUE,"2024-03-08 11:32:03",NA,NA,NA,NA,NA,NA,NA
3.09,3.1222,3.1118,0.0104,TRUE,"2024-03-08 12:29:52",NA,NA,NA,NA,NA,NA,NA
3.58,2.9654,2.955,0.0104,TRUE,"2024-03-08 12:59:14",NA,NA,NA,NA,NA,NA,NA
3.69,2.9072,2.8968,0.0104,TRUE,"2024-03-08 13:32:45",NA,NA,NA,NA,NA,NA,NA
4.03,2.8334,2.823,0.0104,TRUE,"2024-03-08 14:18:44",NA,NA,NA,NA,NA,NA,NA
4.34,2.773,2.7626,0.0104,TRUE,"2024-03-08 15:09:23",NA,NA,NA,NA,NA,NA,NA
4.49,2.7256,2.7152,0.0104,TRUE,"2024-03-08 15:55:25",NA,NA,NA,NA,NA,NA,NA
4.74,2.691,2.6806,0.0104,TRUE,"2024-03-09 07:17:34",NA,NA,NA,NA,NA,NA,NA
5.23,2.6086,2.5982,0.0104,TRUE,"2024-03-09 08:31:06"," ",NA,NA,NA,NA,NA,NA
