"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
1.09,2.2643,2.2643,0,TRUE,"3/8/2024 9:04",NA,NA,NA,NA,NA,NA,NA
1.32,2.2396,2.2396,0,TRUE,"3/8/2024 9:05",NA,NA,NA,NA,NA,NA,NA
1.49,2.2253,2.2253,0,TRUE,"3/8/2024 9:05",NA,NA,NA,NA,NA,NA,NA
1.97,2.2023,2.2023,0,TRUE,"3/8/2024 9:55",NA,NA,NA,NA,NA,NA,NA
2.32,2.1774,2.1774,0,TRUE,"3/8/2024 10:38",NA,NA,NA,NA,NA,NA,NA
2.77,2.1452,2.1452,0,TRUE,"3/8/2024 11:23",NA,NA,NA,NA,NA,NA,NA
3.12,1.9705,1.9705,0,FALSE,"3/8/2024 12:23",NA,NA,NA,NA,NA,NA,NA
3.12,2.1054,2.1054,0,TRUE,"2024-03-08 12:24:39",NA,NA,NA,NA,NA,NA,NA
3.4,2.0605,2.0605,0,TRUE,"2024-03-08 12:51:34",NA,NA,NA,NA,NA,NA,NA
3.72,2.0152,2.0152,0,TRUE,"2024-03-08 13:27:56",NA,NA,NA,4.38136601914306,4.0731090410954,-4.43200607065851,6.21289926984208
3.92,1.9691,1.9691,0,TRUE,"2024-03-08 14:11:46",NA,NA,NA,2.09009610315617,6.59972696696092,-2.13667692230778,1.65147580911581
4.32,1.9294,1.9294,0,TRUE,"2024-03-08 15:00:08",NA,4.40329716869479,0.408982080833561,1.35506806674594,9.24119202337651,-1.39634998019778,-0.285943976967178
4.72,1.9004,1.9004,0,TRUE,"2024-03-08 15:46:26",NA,3.56652572447161,0.217206726492355,1.09603779945568,11.1866179104101,-1.13360087177739,-1.07962229610624
6.79,1.8553,1.8553,0,TRUE,"2024-03-09 07:08:31"," ",NA,NA,NA,NA,NA,NA
