P.MPa,mass.g,leaf.mass.g,offset.mass.g,keep,time,note,eTLP,xTLP,a,b,c,d
1.53,3.3954,3.3954,0,TRUE,3/8/2024 9:38,NA,NA,NA,NA,NA,NA,NA
1.72,3.3233,3.3233,0,FALSE,3/8/2024 9:39,NA,NA,NA,NA,NA,NA,NA
1.77,3.3042,3.3042,0,FALSE,3/8/2024 9:39,NA,NA,NA,NA,NA,NA,NA
1.99,3.2982,3.2862,0,TRUE,3/8/2024 10:06,NA,NA,NA,NA,NA,NA,NA
2.39,3.256,3.256,0,TRUE,3/8/2024 10:59,NA,NA,NA,NA,NA,NA,NA
2.65,3.2108,3.2108,0,TRUE,3/8/2024 11:37,NA,NA,NA,NA,NA,NA,NA
3.1,3.1363,3.1363,0,TRUE,3/8/2024 13:04,NA,NA,NA,NA,NA,NA,NA
3.36,3.0862,3.0862,0,TRUE,3/8/2024 13:37,NA,NA,NA,NA,NA,NA,NA
3.56,3.025,3.025,0,TRUE,3/8/2024 14:25,NA,NA,NA,NA,NA,NA,NA
3.66,2.9758,2.9758,0,TRUE,3/8/2024 15:10,NA,NA,NA,NA,NA,NA,NA
4,2.932,2.932,0,TRUE,3/8/2024 16:02,NA,NA,NA,NA,NA,NA,NA
4.31,2.8975,2.8975,0,TRUE,3/9/2024 7:17,NA,NA,NA,NA,NA,NA,NA
4.68,2.7929,2.7929,0,TRUE,3/9/2024 8:35,NA,NA,NA,NA,NA,NA,NA
4.95,2.7492,2.7492,0,TRUE,3/9/2024 9:06, ,NA,NA,NA,NA,NA,NA
