"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
1.47,3.4973,3.4973,0,TRUE,"3/8/2024 9:16",NA,NA,NA,NA,NA,NA,NA
1.66,3.4652,3.4652,0,TRUE,"3/8/2024 9:16",NA,NA,NA,NA,NA,NA,NA
1.85,3.4482,3.4482,0,TRUE,"3/8/2024 9:16",NA,NA,NA,NA,NA,NA,NA
2.09,3.4233,3.4233,0,TRUE,"3/8/2024 10:03",NA,NA,NA,NA,NA,NA,NA
2.39,3.3846,3.3846,0,TRUE,"3/8/2024 10:38",NA,NA,NA,NA,NA,NA,NA
2.7,3.3484,3.3484,0,TRUE,"3/8/2024 11:28",NA,NA,NA,NA,NA,NA,NA
2.92,3.3089,3.3089,0,TRUE,"3/8/2024 12:26",NA,NA,NA,NA,NA,NA,NA
3.25,3.2553,3.2553,0,TRUE,"3/8/2024 12:55",NA,NA,NA,NA,NA,NA,NA
3.37,3.1982,3.1982,0,TRUE,"3/8/2024 13:29",NA,3.560435631,0.279983722,0.798350002,6.058120371,-1.167959875,-0.886934904
3.66,3.1352,3.1352,0,TRUE,"3/8/2024 14:16",NA,NA,NA,NA,NA,NA,NA
3.97,3.0775,3.0775,0,TRUE,"2024-03-08 15:01:01",NA,3.92336334285626,0.428021838290567,0.903657665510626,6.41728530790642,-1.26571246002196,-0.371930691890327
4.17,3.0371,3.0371,0,TRUE,"2024-03-08 15:50:42",NA,3.38535616462121,0.280920391951314,0.757232028920036,7.45951777595186,-1.11741778959282,-0.694804027540274
4.58,2.9918,2.9918,0,TRUE,"2024-03-09 07:12:04",NA,2.85153248838358,0.184267202033004,0.612828125216988,9.16267673014939,-0.969889179089088,-1.03778308185038
5.13,2.8621,2.8621,0,TRUE,"2024-03-09 08:26:13"," ",2.8130259363691,0.178125492124224,0.601871356339423,9.35499882625032,-0.958486357415313,-1.06378735243735
