Parameter,ID,pred.median,std.error,pred.lower,pred.upper,shrub_id,week,superID
d,1,0.6486255289326943,0.027956526503370216,0.5860899372957279,0.7151946925979472,122,2,122-2-1
d,10,0.6411866678739944,0.034872043194276864,0.5691472137593526,0.7310180910412292,86,3,86-3-10
d,11,0.5290315988027855,0.030351174733526214,0.4620771280214847,0.5976776249345914,90,3,90-3-11
d,12,0.5573504381947001,0.030238145242984966,0.4839887272489279,0.6221303073324119,91,3,91-3-12
d,13,0.469035912237686,0.020857513577010156,0.42537679546568985,0.5125931656119022,122,4,122-4-13
d,14,0.6608860018227123,0.04689154633921086,0.59860055566808,0.7818207197472744,16,4,16-4-14
d,15,0.46341774919015877,0.024375812431250903,0.41283995518000394,0.5174112274859828,39,4,39-4-15
d,16,0.5363841148168218,0.0237753806788115,0.4845408527954337,0.5877825569835976,46,4,46-4-16
d,17,0.5073583486879774,0.020998375616647323,0.46211194708063696,0.5534135205082777,5,4,5-4-17
d,18,0.5199611460227691,0.029438257915890848,0.45679910251865197,0.6018181716712931,69,4,69-4-18
d,19,0.44191336090828715,0.020486957155719705,0.397603696037141,0.4809527664502052,101,5,101-5-19
d,2,0.7151470075271689,0.03558871379638272,0.6425792059697866,0.8318733346879014,16,2,16-2-2
d,20,0.4340047244838567,0.02146042002399392,0.38608015384627614,0.4751930649197496,51,5,51-5-20
d,21,0.5532123945918028,0.02591645359746643,0.49316604896129174,0.6237356183084934,56,5,56-5-21
d,22,0.5260702094012545,0.02424268741734912,0.47290331272753927,0.5778439505661292,86,5,86-5-22
d,23,0.5190646637804348,0.022225869545238655,0.4690312281500624,0.5643315598361192,90,5,90-5-23
d,24,0.53099227428074,0.02803599254953328,0.46199003007677847,0.5940622414893103,91,5,91-5-24
d,25,0.5943170270590994,0.024922658381911857,0.540226502599249,0.651835825661504,122,6,122-6-25
d,26,0.5164129987674058,0.027486517093958635,0.4534567827175664,0.5764693781443248,16,6,16-6-26
d,27,0.4589992988258359,0.022518865518572503,0.40797857007619037,0.5059855605714729,39,6,39-6-27
d,28,0.5073703221464715,0.02542633826241651,0.4488679145755221,0.5608001710901463,46,6,46-6-28
d,29,0.5346107321019845,0.023906235713488076,0.48613385894817973,0.5857591007674459,5,6,5-6-29
d,3,0.6057788287686612,0.03464007646130517,0.5256450005998334,0.7009499551948768,39,2,39-2-3
d,30,0.5433960970808025,0.030894882264190574,0.47193023857792477,0.601762083276404,69,6,69-6-30
d,31,0.44534171368472847,0.023705230737371838,0.3932296741666598,0.49502876153108327,101,7,101-7-31
d,32,0.47204906694712034,0.02383898840393133,0.4153393708311786,0.5252612222137816,51,7,51-7-32
d,33,0.4545571282764968,0.021063676154512732,0.40857046574567135,0.49390903975548317,56,7,56-7-33
d,34,0.5160891956949822,0.020992577594003976,0.4702806992602271,0.5592984019390703,86,7,86-7-34
d,35,0.4850456011117404,0.0270793272050065,0.4248126002374644,0.5444090313777267,90,7,90-7-35
d,36,0.46330278836211714,0.02115012933331047,0.41555397720991216,0.5038990138739088,91,7,91-7-36
d,37,0.43132837807499774,0.021261825440606882,0.3865792045106081,0.47635096094103596,122,8,122-8-37
d,38,0.5232569635439133,0.024435683628063583,0.4650449434319448,0.5694481889931744,16,8,16-8-38
d,39,0.4738028348293338,0.024048757623115407,0.4263057464336578,0.5303991332847044,39,8,39-8-39
d,4,0.6161572565922382,0.028680680965396017,0.5597610556694557,0.6889662201843297,46,2,46-2-4
d,40,0.5089064833140304,0.022674675060214422,0.4612988518801745,0.5582744186042362,46,8,46-8-40
d,41,0.4431861685823538,0.019585848629450415,0.4009969555594633,0.48264642703449157,5,8,5-8-41
d,42,0.5332709803179513,0.026170948009685013,0.4802409955138597,0.5996590536796129,101,9,101-9-42
d,43,0.4618650567685455,0.023912644681851808,0.40711146283605576,0.5050341195896745,51,9,51-9-43
d,44,0.4907143959347767,0.02850896688947391,0.4176351019786996,0.544974137485245,56,9,56-9-44
d,45,0.47057797587775546,0.026296998561854457,0.41842460983802066,0.5290165007853673,86,9,86-9-45
d,46,0.48643394467639467,0.02530211263675108,0.43140637315783226,0.540334462698235,90,9,90-9-46
d,47,0.4304296878073262,0.02764788202141223,0.3585337827061744,0.4854342513837905,91,9,91-9-47
d,5,0.6074326017563225,0.031374498501657674,0.5321761034483684,0.7024625953347217,5,2,5-2-5
d,6,0.664341366958022,0.03292178794579535,0.6004591531264437,0.7537606269670879,69,2,69-2-6
d,7,0.46506380716644513,0.029987208889921558,0.38881366199061657,0.5307134940433849,101,3,101-3-7
d,8,0.41314215293887,0.025232038794865654,0.358543102274175,0.46501526837867285,51,3,51-3-8
d,9,0.4726759046608122,0.029193086440543876,0.4098412372307878,0.5371853178393581,56,3,56-3-9
