Parameter,ID,pred.mean,std.error,pred.lower,pred.upper
cp,1,0.26273422693627685,0.12135431681891182,0.10771671652082415,0.4532441839557007
cp,2,0.1457454307758381,0.035190299977173725,0.08006403796211495,0.20628870600477894
cp,3,0.1796982996363142,0.03950256741507762,0.11474662993772991,0.2527575128228881
cp,4,0.21098393171892965,0.08886138066920443,0.10205374703196532,0.3958628872268001
cp,5,0.21775977362440632,0.0676803060282972,0.1041389946237538,0.3309001030464442
cp,6,0.12662289142852054,0.013310309211199639,0.11516266225655927,0.15050859271452488
