Parameter,ID,pred.median,std.error,pred.lower,pred.upper,shrub_id,week
d,1,0.6306996786406525,0.052171367918204696,0.5252492426483529,0.7266950732879915,122,2
d,3,0.5694075512723706,0.040394404888435854,0.4771051737410077,0.6435260979884216,39,2
d,4,0.5385727814974037,0.04094695388617326,0.4460848466954289,0.6119404309930864,46,2
d,5,0.6010393866597152,0.04408321897324364,0.5116515170738651,0.7016186235785145,5,2
d,6,0.5974106772874324,0.04090668379061234,0.5159849624923362,0.674249379685912,69,2
d,7,0.6014417197969564,0.052675550474471214,0.47663805340283316,0.7571041234310456,101,3
