Parameter,ID,pred.median,std.error,pred.lower,pred.upper,ID_temp,x,y,lab
tlp,1,-2.458987971189818,0.20839931233628523,-2.902363066653067,-2.1309099631261836,1,0.1,0.95,TLP = -2.459
tlp,3,-2.6024168460746746,0.15383008704639145,-2.9181266721698638,-2.310836582497507,2,0.1,0.95,TLP = -2.602
tlp,4,-2.767996047153768,0.18506607790022284,-3.1316694331977373,-2.4502531357996107,3,0.1,0.95,TLP = -2.768
tlp,5,-2.545339827909652,0.15232625128781305,-2.8704583757042057,-2.2508422801422827,4,0.1,0.95,TLP = -2.545
tlp,7,-2.3984581425269917,0.1335847974675245,-2.657439865841227,-2.154948230073116,5,0.1,0.95,TLP = -2.398
tlp,6,-2.4935093652763696,0.1771454530555929,-2.994311575930225,-2.122882787545507,6,0.1,0.95,TLP = -2.494
