Parameter,ID,pred.median,std.error,pred.lower,pred.upper,shrub_id,week,ID_temp
c,1,1.5433011570594526,0.2460079144513997,1.068370329492296,2.004813970720331,122,2,1
c,3,1.3891917222763852,0.21022904967790207,0.9243292093652467,1.7886978846394241,16,2,2
c,4,1.3519464693267707,0.22337029203111253,0.8348935018270913,1.7579740973583589,39,2,3
c,5,1.4781442085288203,0.2195443411127917,1.0287010482990337,2.026128625819651,46,2,4
c,7,1.3352921350628575,0.20518154269906164,0.8971730871061955,1.7122761782003433,5,2,5
c,6,1.4469844949753563,0.2944270676323666,0.6908009831745956,2.3479952698375675,69,2,6
