Parameter,ID,pred.median,std.error,pred.lower,pred.upper,ID_temp
cp,1,0.14520766309585253,0.01049784206675417,0.12788340016103444,0.16656287656615434,1
cp,3,0.13337419160188607,0.006996165529037,0.12084658975603901,0.14830394073081699,2
cp,4,0.13016187502323695,0.007938720956473976,0.11567692782135845,0.14433178391009654,3
cp,5,0.14046958687822653,0.006799678162839319,0.12596255864506717,0.15424489816636797,4
cp,7,0.13520836989261922,0.007405110569118134,0.12072847300992307,0.14938156770557237,5
cp,6,0.13977248959131594,0.008225025171011176,0.12369225173805203,0.16012430247482068,6
