"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
2.33,0.5366,0.5366,0,TRUE,"2025-07-01 07:35:52.593141",NA,NA,NA,NA,NA,NA,NA
1.86,0.533,0.533,0,TRUE,"2025-07-01 07:39:31.775818",NA,NA,NA,NA,NA,NA,NA
1.5,0.528,0.528,0,TRUE,"2025-07-01 07:44:35.812751",NA,NA,NA,NA,NA,NA,NA
1.48,0.5271,0.5271,0,TRUE,"2025-07-01 07:56:39.294547",NA,NA,NA,NA,NA,NA,NA
1.6,0.5211,0.5211,0,TRUE,"2025-07-01 08:15:00.444157",NA,NA,NA,NA,NA,NA,NA
2.09,0.5102,0.5102,0,TRUE,"2025-07-01 09:00:49.58284",NA,NA,NA,-1.37775812427858,103.731746516257,0.521194920759263,-44.4680025266703
2.33,0.5026,0.5026,0,TRUE,"2025-07-01 09:31:58.26826",NA,NA,NA,-0.86196503011434,163.866061217014,0.000324105903407718,-25.6604212775298
2.6,0.4945,0.4945,0,TRUE,"2025-07-01 10:23:46.422306",NA,NA,NA,-0.732326369408648,201.203243583104,-0.131068751567103,-20.4846023158145
2.88,0.4848,0.4848,0,TRUE,"2025-07-01 11:36:41.865351",NA,NA,NA,-0.652556747798108,236.694229228894,-0.211145516953066,-17.3725476035935
3.43,0.4711,0.4711,0,TRUE,"2025-07-02 09:23:06.261102"," ",NA,NA,-0.48901736305355,350.500675555195,-0.369438748772719,-11.0996809090463
