"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
1.01,0.3561,0.3561,0,TRUE,"2025-07-01 07:47:51.148643",NA,NA,NA,NA,NA,NA,NA
1.06,0.3539,0.3539,0,TRUE,"2025-07-01 07:51:45.435678",NA,NA,NA,NA,NA,NA,NA
1.23,0.3532,0.3532,0,TRUE,"2025-07-01 07:59:23.753",NA,NA,NA,NA,NA,NA,NA
1.46,0.3505,0.3505,0,TRUE,"2025-07-01 08:17:38.155152",NA,NA,NA,NA,NA,NA,NA
1.59,0.3497,0.3497,0,TRUE,"2025-07-01 08:30:22.849333",NA,NA,NA,NA,NA,NA,NA
1.78,0.3479,0.3479,0,TRUE,"2025-07-01 08:50:09.428005",NA,NA,NA,NA,NA,NA,NA
2.17,0.3447,0.3447,0,TRUE,"2025-07-01 09:21:09.294825",NA,NA,NA,NA,NA,NA,NA
2.62,0.3388,0.3388,0,TRUE,"2025-07-01 10:11:58.719193",NA,NA,NA,NA,NA,NA,NA
2.83,0.3349,0.3349,0,TRUE,"2025-07-01 11:23:53.4204",NA,NA,NA,NA,NA,NA,NA
3.25,0.3207,0.3207,0,TRUE,"2025-07-02 09:14:57.767427",NA,NA,NA,4.04862647013833,33.5180716627043,-4.01235965283904,45.2487487684436
3.6,0.3056,0.3056,0,TRUE,"2025-07-02 13:39:15.220974",NA,NA,NA,1.46990622675018,69.7455956910062,-1.4204464450759,2.21682495129463
4.5,0.278,0.278,0,TRUE,"2025-07-03 12:22:35.351924"," ",3.21686659331386,0.0316198382801245,1.11499564683514,93.0098529781781,-1.05410736697054,-5.47722959426755
