P.MPa,mass.g,leaf.mass.g,offset.mass.g,keep,time,note,eTLP,xTLP,a,b,c,d
0.63,0.2228,0.2228,0,FALSE,00:38.5,NA,NA,NA,NA,NA,NA,NA
0.19,0.2138,0.2138,0,TRUE,05:12.2,previous measurement was WP may have been incorrect,NA,NA,NA,NA,NA,NA
0.25,0.2112,0.2112,0,TRUE,17:14.1, ,NA,NA,NA,NA,NA,NA
3.73,0.1873,0.1873,0,TRUE,46:52.8, ,NA,NA,NA,NA,NA,NA
3.86,0.1848,0.1848,0,TRUE,14:06.2, ,NA,NA,NA,NA,NA,NA
4.04,0.1801,0.1801,0,TRUE,37:19.4, ,NA,NA,NA,NA,NA,NA
4.29,0.1735,0.1735,0,TRUE,52:06.1, ,NA,NA,NA,NA,NA,NA
4.41,0.1701,0.1701,0,TRUE,36:23.4, ,NA,NA,NA,NA,NA,NA
