"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
3.65,0.2498,0.2498,0,TRUE,"2025-07-22 07:44:36.293767",NA,NA,NA,NA,NA,NA,NA
3.7,0.2482,0.2482,0,TRUE,"2025-07-22 07:54:31.561661",NA,NA,NA,NA,NA,NA,NA
3.73,0.2464,0.2464,0,TRUE,"2025-07-22 08:41:13.499412",NA,NA,NA,NA,NA,NA,NA
3.45,0.244,0.244,0,TRUE,"2025-07-22 09:29:48.042377","girl what",NA,NA,NA,NA,NA,NA
3.8,0.2417,0.2417,0,TRUE,"2025-07-22 10:26:26.396502",NA,NA,NA,NA,NA,NA,NA
3.95,0.2394,0.2394,0,TRUE,"2025-07-22 11:25:19.113943"," ",NA,NA,NA,NA,NA,NA
4.36,0.2318,0.2318,0,TRUE,"2025-07-23 09:30:14.897822"," ",NA,NA,-0.179829685654921,182.50343652641,-1.12683845096562,-19.0965928897294
4.72,0.2271,0.2271,0,TRUE,"2025-07-23 11:35:37.670439"," ",NA,NA,-0.156665930916042,205.569637206684,-1.15007791315208,-17.7415989335822
5.21,0.2194,0.2194,0,TRUE,"2025-07-23 16:31:22.727488"," ",NA,NA,NA,NA,NA,NA
5.66,0.2143,0.2143,0,TRUE,"2025-07-24 09:22:53.262554"," ",NA,NA,NA,NA,NA,NA
6.54,0.2073,0.2073,0,TRUE,"2025-07-24 14:51:34.884006"," ",NA,NA,-0.132963413713689,233.615452173517,-1.17342249113433,-16.2093246991087
