"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
1.46,0.3663,0.3663,0,TRUE,"2025-07-22 07:10:21.272923",NA,NA,NA,NA,NA,NA,NA
1.6,0.3647,0.3647,0,TRUE,"2025-07-22 07:19:15.926472",NA,NA,NA,NA,NA,NA,NA
1.7,0.3637,0.3637,0,TRUE,"2025-07-22 07:27:18.431301",NA,NA,NA,NA,NA,NA,NA
1.75,0.3614,0.3614,0,TRUE,"2025-07-22 07:41:11.937311",NA,NA,NA,NA,NA,NA,NA
1.9,0.3598,0.3598,0,TRUE,"2025-07-22 08:03:00.025359",NA,NA,NA,NA,NA,NA,NA
2.1,0.3553,0.3553,0,TRUE,"2025-07-22 08:38:25.483669",NA,NA,NA,NA,NA,NA,NA
2.45,0.3496,0.3496,0,TRUE,"2025-07-22 09:26:36.743097",NA,NA,NA,NA,NA,NA,NA
2.8,0.345,0.345,0,TRUE,"2025-07-22 10:22:59.276602",NA,NA,NA,NA,NA,NA,NA
3,0.3393,0.3393,0,TRUE,"2025-07-22 11:22:12.593596",NA,4.08873836256737,0.0503808323430883,0.888053102528394,38.8132160997848,-1.28817444727334,-4.87731536861816
3.4,0.3256,0.3256,0,TRUE,"2025-07-23 09:07:16.028552",NA,NA,NA,NA,NA,NA,NA
3.91,0.3134,0.3134,0,TRUE,"2025-07-23 11:32:14.350171",NA,3.67307734021296,0.0462260998924674,0.800952828344266,48.0331107725451,-1.19490842213343,-4.17683582216769
4.73,0.2975,0.2975,0,TRUE,"2025-07-23 16:27:32.214642",NA,2.55297295661284,0.0184706660500508,0.502092732531414,74.0864754565015,-0.890178729854259,-9.46722658462579
5.34,0.2867,0.2867,0,TRUE,"2025-07-24 09:18:23.691466"," ",2.43180200574822,0.0160630269130335,0.463913187614391,81.1685092854877,-0.850367415045292,-10.2231787244292
