"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
1.25,0.5146,0.5146,0,TRUE,"2025-06-24 06:11:28.149819",NA,NA,NA,NA,NA,NA,NA
1.2,0.5122,0.5122,0,TRUE,"2025-06-24 06:17:46.788775",NA,NA,NA,NA,NA,NA,NA
1.3,0.5088,0.5088,0,TRUE,"2025-06-24 06:25:00.129513",NA,NA,NA,NA,NA,NA,NA
1.4,0.5064,0.5064,0,TRUE,"2025-06-24 06:32:10.116775",NA,NA,NA,NA,NA,NA,NA
1.95,0.4972,0.4972,0,TRUE,"2025-06-24 07:07:49.892056",NA,NA,NA,NA,NA,NA,NA
2.21,0.4867,0.4867,0,TRUE,"2025-06-24 07:35:17.659737",NA,NA,NA,NA,NA,NA,NA
2.38,0.4813,0.4813,0,TRUE,"2025-06-24 08:01:13.141513",NA,NA,NA,NA,NA,NA,NA
2.51,0.4752,0.4752,0,TRUE,"2025-06-24 08:28:26.148765",NA,NA,NA,NA,NA,NA,NA
2.64,0.4701,0.4701,0,TRUE,"2025-06-24 08:58:15.207806",NA,NA,NA,NA,NA,NA,NA
2.82,0.4609,0.4609,0,TRUE,"2025-06-24 09:53:33.605201",NA,NA,NA,NA,NA,NA,NA
2.96,0.4515,0.4515,0,TRUE,"2025-06-24 10:50:57.981857",NA,NA,NA,6.98288142119546,9.33187696021488,-7.13192443400989,34.5785775751426
3.38,0.4366,0.4366,0,TRUE,"2025-06-25 09:48:37.918131",NA,3.38422658897114,0.0838287930604678,0.96708916569461,32.6407044748197,-1.11029655211733,-2.04595499982669
3.5,0.4243,0.4243,0,TRUE,"2025-06-25 11:02:27.118498",NA,3.26912829425588,0.0753607850174116,0.928940726754158,33.729841486922,-1.0717750864631,-2.46641399329405
3.98,0.4009,0.4009,0,TRUE,"2025-06-25 15:31:04.970067",NA,2.84422867953411,0.053276501031426,0.797683358657972,39.0506317308425,-0.9376686305463,-3.88970950715379
4.34,0.3865,0.3865,0,TRUE,"2025-06-26 09:50:48.280278"," ",2.67464745195372,0.0462438208884655,0.744996870089458,42.099347323107,-0.883140860784155,-4.47641408558628
