sample,ID,P.MPa,mass.g,mass_lost,leaf.mass.g,offset.mass.g,keep,note,dry_mass,wc,sat_mass_est,rwc
LATR_1,1,1.11,4.7327,0,4.7327,0,TRUE,NA,2.1702,1.1807667496083314,4.9256262446693,0.9299831577627822
LATR_1,1,1.36,4.719,0.013700000000000045,4.719,0,TRUE,NA,2.1702,1.1744539673762788,4.9256262446693,0.9250111502461578
LATR_1,1,1.57,4.686,0.04670000000000041,4.686,0,TRUE,NA,2.1702,1.1592479955764445,4.9256262446693,0.9130347817754564
LATR_1,1,1.71,4.6555,0.07720000000000038,4.6555,0,TRUE,NA,2.1702,1.145193991337204,4.9256262446693,0.9019657139464751
LATR_1,1,1.98,4.6088,0.12390000000000079,4.6088,0,TRUE,NA,2.1702,1.1236752373053174,4.9256262446693,0.8850173379591493
LATR_1,1,2.27,4.5544,0.17830000000000013,4.5544,0,TRUE,"pv(""latr_2"", plotonly = T)",2.1702,1.0986084231868032,4.9256262446693,0.8652744759953269
LATR_1,1,2.62,4.5095,0.2232000000000003,4.5095,0,TRUE,NA,2.1702,1.0779190857985441,4.9256262446693,0.8489793564700395
LATR_1,1,2.91,4.4604,0.27230000000000043,4.4604,0,TRUE,NA,2.1702,1.0552944429084878,4.9256262446693,0.8311599718666628
LATR_1,1,3.38,4.3749,0.3578000000000001,4.3749,0,TRUE,NA,2.1702,1.0158971523361904,4.9256262446693,0.8001302899198462
LATR_1,1,3.49,4.3014,0.43130000000000024,4.3014,0,TRUE,NA,2.1702,0.9820293060547416,4.9256262446693,0.7734556510532844
LATR_1,1,3.77,4.2159,0.5167999999999999,4.2159,0,TRUE,NA,2.1702,0.9426320154824442,4.9256262446693,0.7424259691064677
LATR_1,1,4.18,4.1541,0.5786000000000007,4.1541,0,TRUE,NA,2.1702,0.9141553773845728,4.9256262446693,0.7199974972431544
LATR_1,1,4.44,4.0956,0.6371000000000002,4.0956,0,TRUE,NA,2.1702,0.8871993364666853,4.9256262446693,0.6987666622269115
LATR_1,1,4.73,4.0515,0.6812000000000005,4.0515,0,TRUE,"pv(""latr_3"", plotonly = T)",2.1702,0.8668786286978158,4.9256262446693,0.6827618789069744
LATR_1,1,4.95,3.9461,0.7866000000000004,3.9461,0,TRUE,NA,2.1702,0.8183116763431942,4.9256262446693,0.6445100838520682
LATR_2,2,1.09,2.2643,0,2.2643,0,TRUE,NA,1.0052,1.2525865499403102,2.331408577972773,0.9493981722879863
LATR_2,2,1.32,2.2396,0.024700000000000166,2.2396,0,TRUE,NA,1.0052,1.2280143255073612,2.331408577972773,0.9307736509191408
LATR_2,2,1.49,2.2253,0.039000000000000146,2.2253,0,TRUE,NA,1.0052,1.2137883008356543,2.331408577972773,0.9199910332845461
LATR_2,2,1.97,2.2023,0.06199999999999983,2.2023,0,TRUE,NA,1.0052,1.1909072821329088,2.331408577972773,0.9026483615645688
LATR_2,2,2.32,2.1774,0.08689999999999998,2.1774,0,TRUE,NA,1.0052,1.1661360923199362,2.331408577972773,0.88387303435468
LATR_2,2,2.77,2.1452,0.11909999999999998,2.1452,0,TRUE,NA,1.0052,1.134102666136092,2.331408577972773,0.8595932939467115
LATR_2,2,3.12,2.1054,0.15890000000000004,2.1054,0,TRUE,NA,1.0052,1.0945085555113407,2.331408577972773,0.8295829315790981
