site,id,water_pot_mpa,start_weight,weight_g,total_weight_g,mass_lost_g,dry_mass,wc,sat_mass_est,rwc,notes
ONAQ,4a,NA,1.7507,NA,NA,NA,1.0066,NA,1.89166604470599,NA,put in drying oven @ 30 degrees C when enough time between measurements
ONAQ,5b,2.39,3.5279,5.9965,3.5279,4.44089209850063e-16,2.4518,0.43890203116078,4.06118737447477,0.668639519028906,"started with parafilm, fallen branch dryweight is both the 0.0060g and the 0.0002g of sticks/branch that fell off during measurements"
ONAQ,5b,2.489,3.5279,5.9078,3.4392,0.0886999999999998,2.4518,0.40272452891753,4.06118737447477,0.613525379694398,NA
ONAQ,5b,2.729,3.5279,5.8293,3.3607,0.1672,2.4518,0.370707235500449,4.06118737447477,0.564749055706135,NA
ONAQ,5b,3.016,3.5279,5.6922,3.2236,0.3043,2.4518,0.314789134513419,4.06118737447477,0.479561361199246,NA
ONAQ,5b,3.165,3.5279,5.6649,3.1963,0.331599999999999,2.4518,0.303654457949262,4.06118737447477,0.462598384831354,NA
ONAQ,5b,3.332,3.5279,5.6316,3.169,0.3589,2.4518,0.292519781385105,4.06118737447477,0.445635408463461,0.0060g sticks fell off before measurement
ONAQ,5b,3.586,3.5279,5.5681,3.1086,0.4193,2.4518,0.267884819316421,4.06118737447477,0.408105599942557,leaves and 0.0002g stick fell off before measurement
ONAQ,5b,3.948,3.5279,5.5309,3.0707,0.4572,2.4518,0.252426788481932,4.06118737447477,0.384556266450134,switching to heavier lid to help with air leakage
ONAQ,5b,4.253,3.5279,5.4859,3.0293,0.4986,2.4518,0.235541235011012,4.06118737447477,0.358832192397726,leaf fell off before measurement
ONAQ,5b,NA,3.5279,NA,NA,NA,2.4518,NA,4.06118737447477,NA,put in drying oven @ 30 degrees C when enough time between measurements
ONAQ,6,1.368,4.9429,7.472,4.9429,0,2.6039,0.898267982641422,5.21296881415318,0.896488428098115,started with parafilm
ONAQ,6,1.633,4.9429,7.1818,4.6664,0.2765,2.6039,0.792081109105572,5.21296881415318,0.790511920886003,NA
ONAQ,6,1.745,4.9429,7.1376,4.6222,0.3207,2.6039,0.775106570912861,5.21296881415318,0.773571010872349,NA
