Parameter,ID,pred.mean,std.error,pred.lower,pred.upper
cp,1,0.27271188004606095,0.03563551147617122,0.19788221090829514,0.34565129006889467
cp,2,0.15048547272549004,0.009863775805231262,0.13238969047859722,0.17099444644264314
cp,3,0.18439982171628033,0.020761909758121044,0.15214153889399892,0.23122700427155635
cp,4,0.15623540799144464,0.0214903471960632,0.11472553979931,0.19275026239777537
cp,5,0.254979763650194,0.10573851147195726,0.05974657694227991,0.4349975209293059
cp,6,0.2668326405018052,0.03144034483101845,0.20410476038285175,0.3239468686542352
cp,7,0.10862411851880047,0.012061427660260356,0.09004975163451218,0.13651897006826524
cp,8,0.16896334668327526,0.027447457912896513,0.11877573199113257,0.22527325906186915
cp,9,0.17169519515406467,0.017459599999428685,0.13844169671424858,0.20698893036780122
cp,10,0.21927497415910355,0.041262320753016446,0.14170053142266323,0.2987848496742719
cp,11,0.34414457346029104,0.030038709197923747,0.28931567479158304,0.4044464602205895
