Parameter,ID,pred.mean,std.error,pred.lower,pred.upper,x,y,lab
tlp,1,-2.82899636874126,0.24587926809910912,-3.305650942004138,-2.359982128030476,0.6,0.95,TLP = -2.829
tlp,2,-3.2647848860068707,0.3639064202652017,-3.9212572408865474,-2.584124343131387,0.6,0.95,TLP = -3.265
tlp,3,-3.0460900520849283,0.2558085195554276,-3.5378296046108386,-2.539166894552306,0.6,0.95,TLP = -3.046
tlp,4,-3.1282657778411878,0.25709196920337235,-3.6708228328195087,-2.6803457462072258,0.6,0.95,TLP = -3.128
tlp,5,-3.0292054855519335,0.25751867238517506,-3.5321748569991906,-2.5364453572600634,0.6,0.95,TLP = -3.029
tlp,6,-2.8522057570739423,0.25616209873508705,-3.3468729073301886,-2.3636421386011555,0.6,0.95,TLP = -2.852
