Parameter,ID,pred.mean,std.error,pred.lower,pred.upper,x,y,lab
tlp,1,-2.591665422249738,0.23129503779419563,-3.0303665768137393,-2.1854626781583497,0.6,0.95,TLP = -2.592
tlp,2,-2.94281148315975,0.27514494296984643,-3.499036149806376,-2.458417877231441,0.6,0.95,TLP = -2.943
tlp,3,-3.3454070806368357,0.5661876671624502,-4.555218249522509,-2.5369703702260753,0.6,0.95,TLP = -3.345
tlp,4,-3.274456512768813,0.4140178053016505,-4.223930254358844,-2.6408757482336007,0.6,0.95,TLP = -3.274
tlp,5,-4.516829659077479,3.904727982139433,-7.585545948316866,-2.083390022773213,0.6,0.95,TLP = -4.517
