Parameter,ID,pred.mean,std.error,pred.lower,pred.upper
cp,1,0.2121552328073357,0.036093504186345854,0.14688648204213473,0.28557804145795856
cp,2,0.13769394179099612,0.02502750769716746,0.09210783698549532,0.18587662646145464
cp,3,0.17086296352982844,0.0356128842090418,0.09768101690880955,0.24072001578477015
cp,4,0.17249203207787026,0.022725861490669887,0.12988058532370658,0.2168679244356291
cp,5,0.20590365860059107,0.04122327999540993,0.1347348482625959,0.29068406127668245
cp,6,0.3151921969827832,0.04609519841592619,0.22355084358032865,0.4012344441201164
