"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
3.22,0.4557,0.4557,0,TRUE,"2025-07-08 06:20:13.021781",NA,NA,NA,NA,NA,NA,NA
3.21,0.4525,0.4525,0,TRUE,"2025-07-08 06:24:57.699312",NA,NA,NA,NA,NA,NA,NA
2.9,0.44,0.44,0,TRUE,"2025-07-08 06:31:12.124733",NA,NA,NA,NA,NA,NA,NA
2.78,0.4378,0.4378,0,TRUE,"2025-07-08 06:44:38.064488",NA,NA,NA,NA,NA,NA,NA
2.99,0.4358,0.4358,0,TRUE,"2025-07-08 07:14:59.776265",NA,NA,NA,NA,NA,NA,NA
3.12,0.4325,0.4325,0,TRUE,"2025-07-08 07:41:35.918051",NA,NA,NA,NA,NA,NA,NA
3.26,0.4298,0.4298,0,TRUE,"2025-07-08 08:10:12.480705",NA,NA,NA,NA,NA,NA,NA
3.37,0.4265,0.4265,0,TRUE,"2025-07-08 08:48:54.052366",NA,NA,NA,NA,NA,NA,NA
3.91,0.4179,0.4179,0,TRUE,"2025-07-08 10:24:41.229726",NA,NA,NA,-1.29057964484219,43.040714889033,0.0985461409880245,-32.2123061535473
4.46,0.4051,0.4051,0,TRUE,"2025-07-09 09:27:10.124621",NA,NA,NA,NA,NA,NA,NA
4.74,0.3951,0.3951,0,TRUE,"2025-07-09 11:55:10.500518",NA,NA,NA,-0.374803281478723,129.726709229884,-0.823309499335059,-12.7857794101256
6.11,0.364,0.364,0,TRUE,"2025-07-10 09:57:59.99441"," ",NA,NA,-0.29705949547948,168.048414690843,-0.900319323481706,-10.497207521048
