"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
1.16,0.3411,0.3411,0,TRUE,"2025-07-08 06:37:32.606869",NA,NA,NA,NA,NA,NA,NA
1.3,0.3392,0.3392,0,TRUE,"2025-07-08 06:41:59.382175",NA,NA,NA,NA,NA,NA,NA
1.56,0.3371,0.3371,0,TRUE,"2025-07-08 06:47:47.411026",NA,NA,NA,NA,NA,NA,NA
1.76,0.3364,0.3364,0,TRUE,"2025-07-08 06:53:43.808091",NA,NA,NA,NA,NA,NA,NA
2.04,0.3328,0.3328,0,TRUE,"2025-07-08 07:10:58.445539",NA,NA,NA,NA,NA,NA,NA
2.52,0.3277,0.3277,0,TRUE,"2025-07-08 07:34:41.219489",NA,NA,NA,NA,NA,NA,NA
2.86,0.3235,0.3235,0,TRUE,"2025-07-08 08:04:22.926546",NA,NA,NA,1.36240169325233,74.2585094057997,-1.49364730617068,4.40685364817362
2.99,0.3181,0.3181,0,TRUE,"2025-07-08 08:42:19.30815",NA,NA,NA,3.9687528330836,38.4398602319714,-4.10218596947479,59.3521457278374
3.16,0.3131,0.3131,0,TRUE,"2025-07-08 09:24:00.590715",NA,NA,NA,1.67752902184242,66.8907124338719,-1.80695699731637,14.4914128519713
3.24,0.3063,0.3063,0,TRUE,"2025-07-08 10:35:26.306259",NA,NA,NA,1.36287705173835,78.4357998965356,-1.4897852024772,6.61204831644984
3.47,0.2923,0.2923,0,TRUE,"2025-07-09 09:18:05.609411",NA,3.4310652025222,0.0480420722879982,1.07611488135929,97.8083469232618,-1.19662811973451,-0.958343956064233
3.85,0.281,0.281,0,TRUE,"2025-07-09 11:43:52.819667",NA,3.18749615869431,0.029227399022025,0.960933742131671,111.575526069756,-1.0759166033264,-4.11150641107998
4.08,0.2735,0.2735,0,TRUE,"2025-07-09 14:06:54.441279",NA,3.08337782303594,0.0259901681412817,0.923943803541744,117.490442611584,-1.03648909276347,-5.12257173257427
5.79,0.2496,0.2496,0,TRUE,"2025-07-10 09:50:20.215571"," ",2.71034152504316,0.0181270193999265,0.800849513282413,145.689839290161,-0.903382996117137,-8.31844390978256
