"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
3,0.3706,0.3706,0,TRUE,"2025-07-08 05:56:30.633421",NA,NA,NA,NA,NA,NA,NA
2.89,0.369,0.369,0,TRUE,"2025-07-08 06:02:10.507046",NA,NA,NA,NA,NA,NA,NA
2.7,0.3679,0.3679,0,TRUE,"2025-07-08 06:08:50.275549",NA,NA,NA,NA,NA,NA,NA
2.62,0.3672,0.3672,0,TRUE,"2025-07-08 06:15:26.472776",NA,NA,NA,NA,NA,NA,NA
2.68,0.3659,0.3659,0,TRUE,"2025-07-08 06:28:01.695039",NA,NA,NA,NA,NA,NA,NA
2.88,0.3631,0.3631,0,TRUE,"2025-07-08 07:05:06.111891",NA,NA,NA,NA,NA,NA,NA
3.17,0.3588,0.3588,0,TRUE,"2025-07-08 07:38:20.167924",NA,NA,NA,NA,NA,NA,NA
3.19,0.3563,0.3563,0,TRUE,"2025-07-08 08:06:52.241145",NA,NA,NA,NA,NA,NA,NA
3.33,0.3523,0.3523,0,TRUE,"2025-07-08 08:45:42.337609",NA,NA,NA,NA,NA,NA,NA
3.69,0.3457,0.3457,0,TRUE,"2025-07-08 10:06:48.339643",NA,NA,NA,NA,NA,NA,NA
4.36,0.3336,0.3336,0,TRUE,"2025-07-09 09:23:05.289435",NA,NA,NA,NA,NA,NA,NA
4.76,0.3253,0.3253,0,TRUE,"2025-07-09 11:51:14.776172",NA,NA,NA,NA,NA,NA,NA
6.17,0.2982,0.2982,0,TRUE,"2025-07-10 10:10:32.959549"," ",NA,NA,NA,NA,NA,NA
