"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
0.9,0.411,0.411,0,TRUE,"2025-07-08 06:57:55.721866","pv(""86"", plotonly = TRUE)",NA,NA,NA,NA,NA,NA
1.2,0.4092,0.4092,0,TRUE,"2025-07-08 07:01:09.201496"," ",NA,NA,NA,NA,NA,NA
1.36,0.4076,0.4076,0,TRUE,"2025-07-08 07:08:12.092006"," ",NA,NA,NA,NA,NA,NA
1.55,0.402,0.402,0,TRUE,"2025-07-08 07:31:14.577135"," ",NA,NA,NA,NA,NA,NA
1.83,0.3992,0.3992,0,TRUE,"2025-07-08 08:01:32.164624"," ",NA,NA,NA,NA,NA,NA
2.53,0.3924,0.3924,0,TRUE,"2025-07-08 08:38:37.23825"," ",NA,NA,NA,NA,NA,NA
2.65,0.3878,0.3878,0,TRUE,"2025-07-08 09:21:25.548264"," ",NA,NA,NA,NA,NA,NA
2.8,0.3807,0.3807,0,TRUE,"2025-07-08 10:34:43.096756"," ",NA,NA,NA,NA,NA,NA
3.13,0.3661,0.3661,0,TRUE,"2025-07-09 09:09:17.307753"," ",NA,NA,1.5092363895639,56.1433899738578,-1.48505909830649,5.01993757312982
3.41,0.3566,0.3566,0,TRUE,"2025-07-09 11:39:57.295422"," ",3.26407484068616,0.0480166334447255,1.12941701000703,73.1946287226805,-1.09845579886339,-2.46025243839586
3.65,0.3486,0.3486,0,TRUE,"2025-07-09 14:03:22.272411"," ",2.96748167975157,0.0344438767231158,1.01410949822817,82.5794269839305,-0.978910499328522,-4.87156803821695
5.07,0.3132,0.3132,0,TRUE,"2025-07-10 09:39:24.890831"," ",2.52423963956995,0.0232068900925156,0.862590569002119,104.114343782025,-0.816898644855596,-8.01652064828275
