"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
0.97,1.991,1.991,0,FALSE,"10/27/2023 11:00",NA,NA,NA,NA,NA,NA,NA
1.13,1.9269,1.9269,0,TRUE,"10/27/2023 11:13",NA,NA,NA,NA,NA,NA,NA
1.3,1.9164,1.9164,0,TRUE,"10/27/2023 11:22",NA,NA,NA,NA,NA,NA,NA
1.46,1.8967,1.8967,0,TRUE,"10/27/2023 11:43",NA,NA,NA,NA,NA,NA,NA
1.7,1.8845,1.8845,0,TRUE,"10/27/2023 11:58",NA,NA,NA,NA,NA,NA,NA
2.56,1.8341,1.8341,0,TRUE,"10/27/2023 13:55",NA,NA,NA,NA,NA,NA,NA
2.87,1.8013,1.8013,0,TRUE,"10/27/2023 14:34",NA,NA,NA,NA,NA,NA,NA
3.15,1.7789,1.7789,0,TRUE,"2023-10-27 15:01:59",NA,NA,NA,NA,NA,NA,NA
4.13,1.6605,1.6605,0,TRUE,"2023-10-30 08:32:26",NA,NA,NA,NA,NA,NA,NA
4.57,1.6295,1.6295,0,TRUE,"2023-10-30 09:44:53",NA,NA,NA,NA,NA,NA,NA
5.09,1.5752,1.5752,0,TRUE,"2023-10-30 12:36:04",NA,NA,NA,NA,NA,NA,NA
5.75,1.5167,1.5167,0,TRUE,"2023-10-30 16:26:30"," ",NA,NA,NA,NA,NA,NA
