"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
1.01,1.4471,1.4471,0,TRUE,"10/27/2023 11:27",NA,NA,NA,NA,NA,NA,NA
1.09,1.4272,1.4272,0,FALSE,"10/27/2023 11:34","pv(""latr_2"")",NA,NA,NA,NA,NA,NA
2.21,1.4031,1.4031,0,TRUE,"10/27/2023 11:44"," ",NA,NA,NA,NA,NA,NA
2.42,1.3814,1.3814,0,TRUE,"10/27/2023 11:54"," ",NA,NA,NA,NA,NA,NA
2.69,1.3585,1.3585,0,TRUE,"10/27/2023 12:10"," ",NA,NA,NA,NA,NA,NA
2.97,1.3084,1.3084,0,TRUE,"10/27/2023 14:07"," ",NA,NA,NA,NA,NA,NA
3.11,1.2824,1.2824,0,TRUE,"10/27/2023 14:46"," ",2.493634719,0.068618898,0.818838512,42.58798528,-0.82904356,-1.87641521
3.25,1.2665,1.2665,0,TRUE,"10/27/2023 15:13"," ",2.456712928,0.065111244,0.803896473,44.24883128,-0.814029901,-1.994608411
4.72,1.1422,1.1422,0,TRUE,"10/30/2023 8:46"," ",2.215353879,0.043810958,0.709615551,65.04479743,-0.719463437,-2.670776972
5.22,1.1095,1.1095,0,TRUE,"10/30/2023 9:57"," ",2.185415919,0.041099795,0.69810357,69.95524495,-0.707965624,-2.754736035
6.39,0.705,0.705,0,FALSE,"10/30/2023 12:51","branch broke",NA,NA,NA,NA,NA,NA
6.39,1.0534,1.0534,0,TRUE,"10/30/2023 12:58"," ",2.1370362116793,0.0364145840423413,0.680282304304705,81.1660215297196,-0.690179018671864,-2.8737631689236
