sample,ID,P.MPa,mass.g,mass_lost,leaf.mass.g,offset.mass.g,time,note,dry_mass,wc,r2,n,slope,sat_mass_est,keep,rwc,rwc_plotting
LATR_2,2,3.98,1.9229,0.38149999999999973,1.9229,0,1698418816,NA,1.0059,0.9116214335421017,0.9997299951616456,3,-0.08513749813181917,2.3619710805559713,FALSE,0.6762182404362183,0.32378175956378175
LATR_2,2,4.06,1.9065,0.3978999999999997,1.9065,0,1698420113,NA,1.0059,0.8953176260065614,0.9997299951616456,3,-0.08513749813181917,2.3619710805559713,FALSE,0.6641244791023535,0.3358755208976465
LATR_2,2,4.98,1.7718,0.5325999999999997,1.7718,0,1698654328,NA,1.0059,0.7614076946018491,0.9997299951616456,3,-0.08513749813181917,2.3619710805559713,FALSE,0.5647934027809155,0.4352065972190845
LATR_2,2,6.65,1.5996,0.7047999999999999,1.5996,0,1698668750,NA,1.0059,0.5902177154786757,0.9997299951616456,3,-0.08513749813181917,2.3619710805559713,FALSE,0.4378089087753355,0.5621910912246645
LATR_3,3,1.13,1.9269,0.06410000000000005,1.9269,0,10/27/2023 11:13,NA,0.9365,1.0575547250400428,0.9926145710722253,7,-0.07072922593309057,2.0058618759245563,TRUE,0.9261598176423796,0.07384018235762035
LATR_3,3,1.3,1.9164,0.0746,1.9164,0,10/27/2023 11:22,NA,0.9365,1.046342765616658,0.9926145710722253,7,-0.07072922593309057,2.0058618759245563,TRUE,0.9163408777340144,0.0836591222659856
LATR_3,3,1.46,1.8967,0.09430000000000005,1.8967,0,10/27/2023 11:43,NA,0.9365,1.025306994127069,0.9926145710722253,7,-0.07072922593309057,2.0058618759245563,TRUE,0.8979186761916529,0.10208132380834711
LATR_3,3,1.7,1.8845,0.10650000000000004,1.8845,0,10/27/2023 11:58,NA,0.9365,1.012279765082755,0.9926145710722253,7,-0.07072922593309057,2.0058618759245563,TRUE,0.8865100031552665,0.11348999684473349
LATR_3,3,2.56,1.8341,0.15690000000000004,1.8341,0,10/27/2023 13:55,NA,0.9365,0.9584623598505073,0.9926145710722253,7,-0.07072922593309057,2.0058618759245563,TRUE,0.8393790915951131,0.16062090840488685
LATR_3,3,2.87,1.8013,0.1897000000000002,1.8013,0,10/27/2023 14:34,NA,0.9365,0.9234383342231712,0.9926145710722253,7,-0.07072922593309057,2.0058618759245563,TRUE,0.808706593595648,0.191293406404352
LATR_3,3,3.15,1.7789,0.21210000000000018,1.7789,0,2023-10-27 15:01:59,NA,0.9365,0.8995194874532835,0.9926145710722253,7,-0.07072922593309057,2.0058618759245563,TRUE,0.7877595217911354,0.2122404782088646
LATR_3,3,4.13,1.6605,0.3305,1.6605,0,2023-10-30 08:32:26,NA,0.9365,0.7730912973838763,0.9926145710722253,7,-0.07072922593309057,2.0058618759245563,FALSE,0.6770392851101403,0.32296071488985967
LATR_3,3,4.57,1.6295,0.36150000000000015,1.6295,0,2023-10-30 09:44:53,NA,0.9365,0.7399893219434063,0.9926145710722253,7,-0.07072922593309057,2.0058618759245563,FALSE,0.6480500339521093,0.35194996604789075
LATR_3,3,5.09,1.5752,0.41580000000000017,1.5752,0,2023-10-30 12:36:04,NA,0.9365,0.6820074746396155,0.9926145710722253,7,-0.07072922593309057,2.0058618759245563,FALSE,0.5972720875688488,0.40272791243115125
LATR_3,3,5.75,1.5167,0.47430000000000017,1.5167,0,2023-10-30 16:26:30,NA,0.9365,0.6195408435664709,0.9926145710722253,7,-0.07072922593309057,2.0058618759245563,FALSE,0.5425665652222421,0.4574334347777579
LATR_4,4,1.53,1.9928,0.03420000000000023,1.9928,0,10/27/2023 11:48,NA,0.9159,1.1757833824653343,0.9975859946998666,3,-0.0812708059948902,2.1152285516955622,TRUE,0.8979190885412693,0.10208091145873066
LATR_4,4,2.08,1.943,0.08400000000000007,1.943,0,10/27/2023 12:17,NA,0.9159,1.1214106343487278,0.9975859946998666,3,-0.0812708059948902,2.1152285516955622,TRUE,0.856395854620427,0.143604145379573
LATR_4,4,2.91,1.88,0.14700000000000024,1.88,0,10/27/2023 14:03,NA,0.9159,1.0526258325144664,0.9975859946998666,3,-0.0812708059948902,2.1152285516955622,TRUE,0.8038664623109275,0.1961335376890725
LATR_4,4,3.17,1.8279,0.19910000000000005,1.8279,0,10/27/2023 14:41,NA,0.9159,0.9957418932197838,0.9975859946998666,3,-0.0812708059948902,2.1152285516955622,FALSE,0.7604254886708496,0.23957451132915042
LATR_4,4,3.29,1.8048,0.22220000000000018,1.8048,0,2023-10-27 15:09:24,NA,0.9159,0.9705207992138878,0.9975859946998666,3,-0.0812708059948902,2.1152285516955622,FALSE,0.7411647114906996,0.2588352885093004
LATR_4,4,3.46,1.7883,0.23870000000000013,1.7883,0,2023-10-27 15:26:43,NA,0.9159,0.9525057320668194,0.9975859946998666,3,-0.0812708059948902,2.1152285516955622,FALSE,0.7274070135048784,0.27259298649512165
LATR_4,4,4.21,1.669,0.3580000000000001,1.669,0,2023-10-30 08:39:34,NA,0.9159,0.8222513374822579,0.9975859946998666,3,-0.0812708059948902,2.1152285516955622,FALSE,0.6279346880680008,0.3720653119319992
LATR_4,4,4.55,1.6288,0.3982000000000001,1.6288,0,2023-10-30 09:49:00,NA,0.9159,0.778360082978491,0.9975859946998666,3,-0.0812708059948902,2.1152285516955622,FALSE,0.5944159329752726,0.4055840670247274
LATR_4,4,5.17,1.5556,0.47140000000000004,1.5556,0,2023-10-30 12:43:55,NA,0.9159,0.6984386941805875,0.9975859946998666,3,-0.0812708059948902,2.1152285516955622,FALSE,0.5333817819109018,0.4666182180890982
LATR_4,4,6.41,1.4578,0.5692000000000002,1.4578,0,2023-10-30 16:34:09,NA,0.9159,0.5916584779997816,0.9975859946998666,3,-0.0812708059948902,2.1152285516955622,FALSE,0.4518361538494883,0.5481638461505117
LATR_5,5,2.21,1.4031,0.04400000000000004,1.4031,0,10/27/2023 11:44,NA,0.6535,1.1470543228768173,0.996809900153259,3,-0.09253886010362822,1.6067948186528531,TRUE,0.7863254738542437,0.21367452614575633
LATR_5,5,2.42,1.3814,0.06570000000000009,1.3814,0,10/27/2023 11:54,NA,0.6535,1.1138485080336649,0.996809900153259,3,-0.09253886010362822,1.6067948186528531,TRUE,0.7635623164601173,0.2364376835398827
LATR_5,5,2.69,1.3585,0.08860000000000001,1.3585,0,10/27/2023 12:10,NA,0.6535,1.0788064269319053,0.996809900153259,3,-0.09253886010362822,1.6067948186528531,TRUE,0.7395403669520302,0.2604596330479698
LATR_5,5,2.97,1.3084,0.13870000000000005,1.3084,0,10/27/2023 14:07,NA,0.6535,1.0021423106350422,0.996809900153259,3,-0.09253886010362822,1.6067948186528531,FALSE,0.6869857961941624,0.31301420380583755
LATR_5,5,3.11,1.2824,0.16470000000000007,1.2824,0,10/27/2023 14:46,NA,0.6535,0.9623565416985463,0.996809900153259,3,-0.09253886010362822,1.6067948186528531,FALSE,0.6597119670583429,0.3402880329416571
LATR_5,5,3.25,1.2665,0.1806000000000001,1.2665,0,10/27/2023 15:13,NA,0.6535,0.938026013771997,0.996809900153259,3,-0.09253886010362822,1.6067948186528531,FALSE,0.6430329715483609,0.3569670284516391
LATR_5,5,4.72,1.1422,0.30489999999999995,1.1422,0,10/30/2023 8:46,NA,0.6535,0.7478194338179038,0.996809900153259,3,-0.09253886010362822,1.6067948186528531,FALSE,0.5126430884105776,0.4873569115894224
LATR_5,5,5.22,1.1095,0.3376000000000001,1.1095,0,10/30/2023 9:57,NA,0.6535,0.6977811782708493,0.996809900153259,3,-0.09253886010362822,1.6067948186528531,FALSE,0.47834100330514284,0.5216589966948572
LATR_5,5,6.39,1.0534,0.39370000000000016,1.0534,0,10/30/2023 12:58,NA,0.6535,0.6119357306809486,0.996809900153259,3,-0.09253886010362822,1.6067948186528531,FALSE,0.4194924719774706,0.5805075280225294
