"","id","dt","water_pot_mpa","total_weight_g","start_wp","start_weight","mass_lost_g","superID","dry_mass","wc","r2","n","slope","sat_mass_est","keep","rwc","rwc_plotting"
"1",1,2025-03-12 14:11:00,-1.067,1.9925,-1.067,1.9925,2.22044604925031e-16,1,1.0693,0.863368558870289,0.997777738854175,3,0.0665718228507228,2.06324009901695,TRUE,0.928828609403211,0.0711713905967895
"2",1,2025-03-12 14:26:00,-1.212,1.982,-1.067,1.9925,0.0105000000000002,1,1.0693,0.853549050780885,0.997777738854175,3,0.0665718228507228,2.06324009901695,TRUE,0.918264592506835,0.0817354074931647
"3",1,2025-03-12 15:01:00,-1.373,1.9721,-1.067,1.9925,0.0204000000000002,1,1.0693,0.844290657439446,0.997777738854175,3,0.0665718228507228,2.06324009901695,TRUE,0.908304233718824,0.0916957662811763
"4",1,2025-03-12 15:42:00,-1.613,1.9621,-1.067,1.9925,0.0304,1,1.0693,0.834938744973347,0.997777738854175,3,0.0665718228507228,2.06324009901695,FALSE,0.898243265246086,0.101756734753914
"5",1,2025-03-12 17:40:00,-1.967,1.9387,-1.067,1.9925,0.0537999999999996,1,1.0693,0.813055269802675,0.997777738854175,3,0.0665718228507228,2.06324009901695,FALSE,0.874700599019878,0.125299400980122
"6",1,2025-03-12 18:39:00,-2.123,1.9298,-1.067,1.9925,0.0627000000000002,1,1.0693,0.804732067707846,0.997777738854175,3,0.0665718228507228,2.06324009901695,FALSE,0.86574633707914,0.13425366292086
"7",1,2025-03-12 19:43:00,-2.229,1.9203,-1.067,1.9925,0.0721999999999996,1,1.0693,0.795847750865052,0.997777738854175,3,0.0665718228507228,2.06324009901695,FALSE,0.85618841703004,0.14381158296996
"8",1,2025-03-12 20:28:00,-2.348,1.9137,-1.067,1.9925,0.0787999999999993,1,1.0693,0.789675488637427,0.997777738854175,3,0.0665718228507228,2.06324009901695,FALSE,0.849548177838033,0.150451822161967
"9",1,2025-03-12 21:37:00,-2.557,1.9031,-1.067,1.9925,0.0893999999999995,1,1.0693,0.779762461423362,0.997777738854175,3,0.0665718228507228,2.06324009901695,FALSE,0.83888355125693,0.16111644874307
"10",1,2025-03-12 22:45:00,-2.758,1.8949,-1.067,1.9925,0.0975999999999999,1,1.0693,0.77209389320116,0.997777738854175,3,0.0665718228507228,2.06324009901695,FALSE,0.830633557109284,0.169366442890716
"11",1,2025-03-13 00:16:00,-2.987,1.8831,-1.067,1.9925,0.1094,1,1.0693,0.761058636491163,0.997777738854175,3,0.0665718228507228,2.06324009901695,FALSE,0.818761614311452,0.181238385688548
"12",1,2025-03-13 01:35:00,-3.235,1.8729,-1.067,1.9925,0.119599999999999,1,1.0693,0.751519685775742,0.997777738854175,3,0.0665718228507228,2.06324009901695,FALSE,0.80849942646926,0.19150057353074
