"","id","dt","water_pot_mpa","total_weight_g","total_dry_weight_g","start_weight","mass_lost_g","superID","dry_mass","wc","r2","n","slope","sat_mass_est","keep","rwc","rwc_plotting"
"1","2b",2025-03-12 15:10:00,-1.013,1.7372,NA,1.7372,0,1,0.8676,1.00230520977409,0.999742256594122,3,0.24208787445356,1.98278735671549,TRUE,0.779779285304302,0.220220714695698
"2","2b",2025-03-12 15:14:00,-1.111,1.7144,NA,1.7372,0.0228000000000002,1,0.8676,0.97602581834947,0.999742256594122,3,0.24208787445356,1.98278735671549,TRUE,0.759334290243425,0.240665709756575
"3","2b",2025-03-12 15:21:00,-1.268,1.6756,NA,1.7372,0.0616000000000003,1,0.8676,0.931304748732134,0.999742256594122,3,0.24208787445356,1.98278735671549,TRUE,0.724541930227548,0.275458069772452
"4","2b",2025-03-12 15:35:00,-1.543,1.6319,NA,1.7372,0.1053,1,0.8676,0.88093591516828,0.999742256594122,3,0.24208787445356,1.98278735671549,FALSE,0.685355689694202,0.314644310305798
"5","2b",2025-03-12 15:59:00,-2.223,1.5758,NA,1.7372,0.1614,1,0.8676,0.816274781005071,0.999742256594122,3,0.24208787445356,1.98278735671549,FALSE,0.635050241320729,0.364949758679271
"6","2b",2025-03-12 16:10:00,-2.368,1.5575,NA,1.7372,0.1797,1,0.8676,0.795182111572153,0.999742256594122,3,0.24208787445356,1.98278735671549,FALSE,0.618640442653447,0.381359557346553
"7","2b",2025-03-12 16:26:00,-2.61,1.535,NA,1.7372,0.2022,1,0.8676,0.769248501613647,0.999742256594122,3,0.24208787445356,1.98278735671549,FALSE,0.598464460685477,0.401535539314523
"8","2b",2025-03-12 16:46:00,-2.71,1.5193,NA,1.7372,0.2179,1,0.8676,0.751152604887045,0.999742256594122,3,0.24208787445356,1.98278735671549,FALSE,0.584386108823382,0.415613891176618
"9","2b",2025-03-12 17:12:00,-2.863,1.5044,NA,1.7372,0.2328,1,0.8676,0.733978792070078,0.999742256594122,3,0.24208787445356,1.98278735671549,FALSE,0.571025125209038,0.428974874790962
"10","2b",2025-03-12 17:38:00,-2.968,1.4901,NA,1.7372,0.2471,1,0.8676,0.717496542185339,0.999742256594122,3,0.24208787445356,1.98278735671549,FALSE,0.558202167780506,0.441797832219494
"11","2b",2025-03-12 18:32:00,-3.153,1.4701,NA,1.7372,0.2671,1,0.8676,0.694444444444444,0.999742256594122,3,0.24208787445356,1.98278735671549,FALSE,0.540267961586754,0.459732038413246
"12","2b",2025-03-12 19:14:00,-3.256,1.4558,NA,1.7372,0.2814,1,0.8676,0.677962194559705,0.999742256594122,3,0.24208787445356,1.98278735671549,FALSE,0.527445004158222,0.472554995841778
"13","2b",2025-03-12 20:37:00,-3.532,1.4174,NA,1.7372,0.3198,1,0.8676,0.633702166897188,0.999742256594122,3,0.24208787445356,1.98278735671549,FALSE,0.49301132826622,0.50698867173378
"14","2b",2025-03-12 21:59:00,-3.818,1.3929,NA,1.7372,0.3443,1,0.8676,0.605463347164592,0.999742256594122,3,0.24208787445356,1.98278735671549,FALSE,0.471041925678875,0.528958074321125
"15","2b",2025-03-12 23:42:00,-4.063,1.3537,NA,1.7372,0.3835,1,0.8676,0.560281235592439,0.999742256594122,3,0.24208787445356,1.98278735671549,FALSE,0.435890881539123,0.564109118460877
"16","2b",2025-03-13 01:20:00,-4.658,1.3171,NA,1.7372,0.4201,1,0.8676,0.518095896726602,0.999742256594122,3,0.24208787445356,1.98278735671549,FALSE,0.403071284204558,0.596928715795442
"17","2b",2025-03-13 03:25:00,-5.098,1.2803,NA,1.7372,0.4569,1,0.8676,0.475680036883356,0.999742256594122,3,0.24208787445356,1.98278735671549,FALSE,0.370072344808056,0.629927655191944
"18","2b",2025-03-13 05:32:00,-5.308,1.2572,NA,1.7372,0.48,1,0.8676,0.449054863992624,0.999742256594122,3,0.24208787445356,1.98278735671549,FALSE,0.349358336654273,0.650641663345727
"19","2b",2025-03-13 07:38:00,-5.793,1.2241,NA,1.7372,0.5131,1,0.8676,0.410903642231443,0.999742256594122,3,0.24208787445356,1.98278735671549,FALSE,0.319677225403615,0.680322774596385
