sample,ID,P.MPa,mass.g,mass_lost,leaf.mass.g,offset.mass.g,note,dry_mass,wc,r2,n,slope,sat_mass_est,keep,rwc,rwc_plotting
LATR_1,1,1.11,4.7327,0,4.7327,0,NA,2.1702,1.1807667496083314,0.994760270568772,9,-0.16275734435797645,4.9309934868677034,TRUE,0.9281751830367146,0.07182481696328535
LATR_1,1,1.36,4.719,0.01370000000000004,4.719,0,NA,2.1702,1.1744539673762788,0.994760270568772,9,-0.16275734435797645,4.9309934868677034,TRUE,0.923212841570333,0.07678715842966699
LATR_1,1,1.57,4.686,0.04670000000000041,4.686,0,NA,2.1702,1.1592479955764445,0.994760270568772,9,-0.16275734435797645,4.9309934868677034,TRUE,0.9112597562863478,0.08874024371365219
LATR_1,1,1.71,4.6555,0.07720000000000038,4.6555,0,NA,2.1702,1.145193991337204,0.994760270568772,9,-0.16275734435797645,4.9309934868677034,TRUE,0.9002122077663012,0.09978779223369882
LATR_1,1,1.98,4.6088,0.1239000000000008,4.6088,0,NA,2.1702,1.1236752373053174,0.994760270568772,9,-0.16275734435797645,4.9309934868677034,TRUE,0.8832967810159343,0.11670321898406566
LATR_1,1,2.27,4.5544,0.17830000000000013,4.5544,0,"pv(""latr_2"", plotonly = T)",2.1702,1.0986084231868032,0.994760270568772,9,-0.16275734435797645,4.9309934868677034,TRUE,0.8635923010326381,0.13640769896736193
LATR_1,1,2.62,4.5095,0.2232000000000003,4.5095,0,NA,2.1702,1.0779190857985441,0.994760270568772,9,-0.16275734435797645,4.9309934868677034,TRUE,0.8473288607523068,0.15267113924769316
LATR_1,1,2.91,4.4604,0.27230000000000043,4.4604,0,NA,2.1702,1.0552944429084878,0.994760270568772,9,-0.16275734435797645,4.9309934868677034,TRUE,0.8295441187085595,0.17045588129144051
LATR_1,1,3.38,4.3749,0.3578000000000001,4.3749,0,NA,2.1702,1.0158971523361904,0.994760270568772,9,-0.16275734435797645,4.9309934868677034,TRUE,0.7985747613818711,0.2014252386181289
LATR_1,1,3.49,4.3014,0.43130000000000024,4.3014,0,NA,2.1702,0.9820293060547416,0.994760270568772,9,-0.16275734435797645,4.9309934868677034,FALSE,0.7719519805220864,0.22804801947791364
