"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
0.93,0.3193,0.3193,0,TRUE,"2025-07-15 07:55:45.021562",NA,NA,NA,NA,NA,NA,NA
1.28,0.3166,0.3166,0,TRUE,"2025-07-15 08:02:10.233165",NA,NA,NA,NA,NA,NA,NA
2.18,0.3128,0.3128,0,TRUE,"2025-07-15 08:12:31.651136",NA,NA,NA,NA,NA,NA,NA
2.4,0.3098,0.3098,0,TRUE,"2025-07-15 08:30:28.781465",NA,NA,NA,NA,NA,NA,NA
2.65,0.3048,0.3048,0,TRUE,"2025-07-15 09:12:52.318722",NA,NA,NA,NA,NA,NA,NA
3.15,0.297,0.297,0,TRUE,"2025-07-15 10:29:32.71113",NA,3.20647824965124,0.0278586113895576,1.21441459272792,158.347957627486,-1.1148849111158,-2.33427839119991
3.32,0.2922,0.2922,0,TRUE,"2025-07-15 11:26:23.645765",NA,3.04120189221331,0.0195757173874512,1.12041092958442,171.193863827025,-1.0199428317186,-6.72108395006031
3.62,0.2818,0.2818,0,TRUE,"2025-07-16 09:16:42.318029",NA,2.98141924419536,0.018278670817784,1.09587921851607,175.755025281326,-0.994797446679043,-7.75299989980104
3.84,0.2741,0.2741,0,TRUE,"2025-07-16 11:26:54.771354",NA,2.97982469764205,0.0182488505681332,1.0952715406909,175.887213486941,-0.994165333873316,-7.7764955734443
4.03,0.2673,0.2673,0,TRUE,"2025-07-16 13:59:06.895186",NA,2.98896173357911,0.018411061410257,1.09860033371961,175.091583850109,-0.997673873822139,-7.65779601866114
4.42,0.2578,0.2578,0,TRUE,"2025-07-17 10:00:17.96863"," ",2.95952368201185,0.0179234617063205,1.08836823459083,177.812662283039,-0.986735067970176,-7.99160516013231
