"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
1.51,0.573,0.573,0,TRUE,"2025-07-15 06:25:50.442607",NA,NA,NA,NA,NA,NA,NA
1.38,0.5656,0.5656,0,TRUE,"2025-07-15 06:30:34.02996",NA,NA,NA,NA,NA,NA,NA
1.49,0.5625,0.5625,0,TRUE,"2025-07-15 06:36:21.756209",NA,NA,NA,NA,NA,NA,NA
1.39,0.561,0.561,0,TRUE,"2025-07-15 06:45:45.991905",NA,NA,NA,NA,NA,NA,NA
1.82,0.5545,0.5545,0,TRUE,"2025-07-15 07:17:55.606396",NA,NA,NA,NA,NA,NA,NA
2.8,0.5438,0.5438,0,TRUE,"2025-07-15 08:20:34.338137",NA,NA,NA,-1.00554785783321,89.8272291007844,0.592153115168278,-53.1347321556976
2.73,0.5389,0.5389,0,TRUE,"2025-07-15 08:58:09.385635",NA,NA,NA,-0.401791535829105,254.450573448041,-0.0115196015283036,-31.3410644810338
2.91,0.5356,0.5356,0,TRUE,"2025-07-15 09:35:44.657871",NA,NA,NA,NA,NA,NA,NA
3.03,0.5316,0.5316,0,TRUE,"2025-07-15 10:22:13.183809",NA,NA,NA,NA,NA,NA,NA
3.14,0.5229,0.5229,0,TRUE,"2025-07-15 11:18:23.769453",NA,NA,NA,NA,NA,NA,NA
3.51,0.5114,0.5114,0,TRUE,"2025-07-16 09:28:02.263634",NA,NA,NA,NA,NA,NA,NA
3.77,0.4964,0.4964,0,TRUE,"2025-07-16 11:43:32.344022",NA,NA,NA,NA,NA,NA,NA
4.02,0.4855,0.4855,0,TRUE,"2025-07-16 14:14:41.049838"," ",NA,NA,NA,NA,NA,NA
