"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
1.71,0.3388,0.3388,0,TRUE,"2025-06-17 06:11:03.718562",NA,NA,NA,NA,NA,NA,NA
1.72,0.3364,0.3364,0,TRUE,"2025-06-17 06:14:36.048287",NA,NA,NA,NA,NA,NA,NA
1.71,0.335,0.335,0,TRUE,"2025-06-17 06:17:53.134333",NA,NA,NA,NA,NA,NA,NA
1.81,0.3308,0.3308,0,TRUE,"2025-06-17 06:25:31.961374",NA,NA,NA,NA,NA,NA,NA
1.96,0.3271,0.3271,0,TRUE,"2025-06-17 06:42:17.341463",NA,NA,NA,NA,NA,NA,NA
2.37,0.3236,0.3236,0,TRUE,"2025-06-17 07:13:51.856943","pv(""46"")",NA,NA,NA,NA,NA,NA
2.7,0.3212,0.3212,0,TRUE,"2025-06-17 07:38:37.525531"," ",NA,NA,NA,NA,NA,NA
2.97,0.3171,0.3171,0,TRUE,"2025-06-17 08:09:04.366406"," ",NA,NA,-0.454538949283404,147.243488358838,-0.0929813896912721,-46.3511922882786
3.25,0.3131,0.3131,0,TRUE,"2025-06-17 08:50:09.079292"," ",NA,NA,NA,NA,NA,NA
3.32,0.3085,0.3085,0,TRUE,"2025-06-17 09:33:50.358773"," ",NA,NA,NA,NA,NA,NA
3.49,0.3023,0.3023,0,TRUE,"2025-06-17 11:04:54.370834"," ",NA,NA,NA,NA,NA,NA
3.79,0.2901,0.2901,0,TRUE,"2025-06-18 09:23:25.173057"," ",NA,NA,NA,NA,NA,NA
3.98,0.282,0.282,0,TRUE,"2025-06-18 11:00:42.982312"," ",NA,NA,NA,NA,NA,NA
4.11,0.2774,0.2774,0,TRUE,"2025-06-18 12:18:19.250095"," ",NA,NA,NA,NA,NA,NA
