"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
0.99,0.5218,0.5218,0,TRUE,"2025-06-17 06:30:00.099112",NA,NA,NA,NA,NA,NA,NA
1.04,0.5206,0.5206,0,TRUE,"2025-06-17 06:32:39.086735",NA,NA,NA,NA,NA,NA,NA
1.12,0.5194,0.5194,0,TRUE,"2025-06-17 06:35:41.113684",NA,NA,NA,NA,NA,NA,NA
1.21,0.5174,0.5174,0,TRUE,"2025-06-17 06:44:55.849547",NA,NA,NA,NA,NA,NA,NA
1.57,0.5136,0.5136,0,TRUE,"2025-06-17 07:10:20.754314",NA,NA,NA,NA,NA,NA,NA
1.85,0.51,0.51,0,TRUE,"2025-06-17 07:34:22.552276",NA,NA,NA,NA,NA,NA,NA
2.05,0.5043,0.5043,0,TRUE,"2025-06-17 08:05:48.913768",NA,NA,NA,NA,NA,NA,NA
2.21,0.5001,0.5001,0,TRUE,"2025-06-17 08:40:26.793486",NA,NA,NA,NA,NA,NA,NA
2.42,0.4946,0.4946,0,TRUE,"2025-06-17 09:25:05.949255",NA,NA,NA,3.05874960266426,34.4810364393444,-3.02220215206474,35.0520185290169
2.48,0.4875,0.4875,0,TRUE,"2025-06-17 10:29:35.663823",NA,NA,NA,2.08894022287072,43.77495417495,-2.05129188921271,19.8253475575636
2.86,0.4707,0.4707,0,TRUE,"2025-06-18 09:01:54.657753",NA,2.62197255229722,0.0374464422234056,0.922284793725968,82.5907494786338,-0.876343328229612,-3.4565353301452
2.98,0.458,0.458,0,TRUE,"2025-06-18 10:36:49.624825",NA,2.62268622708773,0.0374869859883909,0.922614516967413,82.5594078827075,-0.876683601087506,-3.44895397734341
3.1,0.4505,0.4505,0,TRUE,"2025-06-18 12:00:48.66886",NA,2.59212115895385,0.035927435095732,0.90930691602791,84.0078308446508,-0.862756331289725,-3.73464037286564
3.34,0.4367,0.4367,0,TRUE,"2025-06-18 14:40:19.259539"," ",2.52980037545054,0.0332425941212415,0.884113104471449,87.3398844682127,-0.835860648296562,-4.23436178659951
