"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
1.84,0.3327,0.3327,0,TRUE,"2025-06-17 05:48:56.65616",NA,NA,NA,NA,NA,NA,NA
1.9,0.3314,0.3314,0,TRUE,"2025-06-17 05:52:55.782196",NA,NA,NA,NA,NA,NA,NA
2.3,0.3299,0.3299,0,FALSE,"2025-06-17 05:56:26.094932",NA,NA,NA,NA,NA,NA,NA
2.23,0.329,0.329,0,TRUE,"2025-06-17 06:01:33.809668",NA,NA,NA,NA,NA,NA,NA
2.24,0.3279,0.3279,0,TRUE,"2025-06-17 06:06:38.760115",NA,NA,NA,NA,NA,NA,NA
2.31,0.3229,0.3229,0,TRUE,"2025-06-17 06:21:41.556808",NA,NA,NA,0.673026747092224,182.507668015897,-1.26732562786089,32.6198370115261
2.64,0.317,0.317,0,TRUE,"2025-06-17 07:03:32.221109",NA,NA,NA,NA,NA,NA,NA
2.75,0.3144,0.3144,0,TRUE,"2025-06-17 07:26:12.745974",NA,NA,NA,NA,NA,NA,NA
2.9,0.3099,0.3099,0,TRUE,"2025-06-17 07:58:33.062857",NA,NA,NA,NA,NA,NA,NA
3.33,0.3048,0.3048,0,TRUE,"2025-06-17 08:44:06.665708",NA,NA,NA,NA,NA,NA,NA
3.39,0.299,0.299,0,TRUE,"2025-06-17 09:46:03.642474"," ",NA,NA,NA,NA,NA,NA
3.85,0.2911,0.2911,0,TRUE,"2025-06-17 11:22:32.08893"," ",2.11684715865323,0.00312837031238025,0.138226730103094,468.953567331434,-0.735040049722608,-14.9480875981481
4.38,0.2857,0.2857,0,TRUE,"2025-06-18 09:14:44.410465"," ",2.09186943622404,0.00278448839226711,0.127399724808429,522.608157034488,-0.724525462557322,-15.5367769298128
4.56,0.2781,0.2781,0,TRUE,"2025-06-18 10:52:36.856204"," ",2.12324344364394,0.00322128228525031,0.141092002440387,451.993157497238,-0.737943396936304,-14.8697119389625
4.84,0.2745,0.2745,0,TRUE,"2025-06-18 12:11:51.234853"," ",2.13618853239482,0.00341655795113361,0.146623658695267,423.18967003175,-0.74362500670483,-14.6154957580056
